No,Time,열차번호,Speed,Next Station code,Distance,PBR,ATO PWM,M1(Car2) APB,Tc1 BC pressure,Car2_VVVF-Load Weight,Car2_VVVF-Iq REAL,Car2_VVVF-Iq REF,Car2_VVVF-PWM노치,Car2_VVVF-BECU Brake Command,Car2_VVVF-P_watt,Car2_VVVF-B_watt,Car2_VVVF-MR,Car2_VVVF-PBR,Car2_VVVF-Actual PB,Car2_VVVF-V Line,Car2_VVVF-I Line,Car2_VVVF-V FC,Car2_VVVF_P_Watt(1=1kwh),Car2_VVVF_B_Watt(1=1kwh),Car2_VVVF-VVVF1 SDR Speed from BECU,Car2_VVVF-VVVF1 SDR 평균차륜경,Car2_VVVF-VVVF1 SDR WatchDog,Car2_BECU-PWM,Car2_BECU-ASP,Car2_BECU-LW,Car2_BECU-BED,Car2_BECU-BEA,Car2_BECU-ABRC,Car2_BECU-ACP,Car2_BECU-BCP,Car1_BECU-PWM,Car1_BECU-ASP,Car1_BECU-LW,Car1_BECU-BED,Car1_BECU-BEA,Car1_BECU-ABRC,Car1_BECU-ACP,Car1_BECU-BCP
1,22:22:21,2320,0．0 km/h,양정(121),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1599．5 V,4．5 A,1602．5 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,123．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
2,22:22:22,2320,0．0 km/h,양정(121),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1583．5 V,5．0 A,1587．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,128．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
3,22:22:23,2320,0．0 km/h,시청(122),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1590．0 V,5．0 A,1593．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,133．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
4,22:22:24,2320,0．0 km/h,시청(122),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1590．0 V,5．5 A,1596．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,138．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
5,22:22:25,2320,0．0 km/h,시청(122),0．0 m,41．0 %,40．4 %,0．0 kN,84．0 kPa,47．0 %,15．6 A,15．6 A,41．0 %,9．0 %,0．0 kWh,0．0 kWh,0．0 %,-5．0 kN,0．0 kN,1596．5 V,4．5 A,1600．2 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,144．0,42．4 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,57．0 kPa,87．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,57．0 kPa,84．0 kPa
6,22:22:26,2320,0．0 km/h,시청(122),0．0 m,41．0 %,40．4 %,20．0 kN,33．0 kPa,47．0 %,93．8 A,93．8 A,41．0 %,9．0 %,0．0 kWh,0．0 kWh,2．0 %,-27．0 kN,20．0 kN,1597．2 V,0．0 A,1599．5 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,148．0,42．4 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,6．0 kPa,33．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,12．0 kPa,33．0 kPa
7,22:22:27,2320,0．0 km/h,시청(122),0．0 m,58．0 %,59．2 %,43．0 kN,0．0 kPa,47．0 %,171．9 A,148．4 A,58．0 %,9．0 %,0．0 kWh,0．0 kWh,4．0 %,-47．0 kN,43．0 kN,1598．7 V,14．0 A,1598．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,152．0,58．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,61．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
8,22:22:28,2320,4．0 km/h,시청(122),1．0 m,90．0 %,89．8 %,67．0 kN,0．0 kPa,47．0 %,234．4 A,203．1 A,87．0 %,9．0 %,0．0 kWh,0．0 kWh,11．0 %,-73．0 kN,67．0 kN,1574．7 V,74．0 A,1576．7 V,1406492．0 kWh,887856．0 kWh,3．0 km/h,160．0 mm,159．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,87．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
9,22:22:29,2320,7．0 km/h,시청(122),4．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,210．9 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,17．0 %,-78．0 kN,72．0 kN,1576．0 V,143．0 A,1576．0 V,1406492．0 kWh,887856．0 kWh,6．0 km/h,160．0 mm,163．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
10,22:22:30,2320,10．0 km/h,시청(122),9．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,24．0 %,-78．0 kN,72．0 kN,1601．7 V,176．7 A,1598．0 V,1406492．0 kWh,887856．0 kWh,10．0 km/h,160．0 mm,168．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
11,22:22:31,2320,14．0 km/h,시청(122),16．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,210．9 A,210．9 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,32．0 %,-78．0 kN,72．0 kN,1637．0 V,241．0 A,1596．5 V,1406492．0 kWh,887856．0 kWh,14．0 km/h,160．0 mm,174．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
12,22:22:32,2320,17．0 km/h,시청(122),22．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,210．9 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,38．0 %,-78．0 kN,72．0 kN,1621．5 V,281．2 A,1599．5 V,1406492．0 kWh,887856．0 kWh,17．0 km/h,160．0 mm,178．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
13,22:22:33,2320,21．0 km/h,시청(122),30．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,44．0 %,-78．0 kN,72．0 kN,1602．5 V,331．0 A,1598．7 V,1406492．0 kWh,887856．0 kWh,21．0 km/h,160．0 mm,183．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
14,22:22:34,2320,25．0 km/h,시청(122),41．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,51．0 %,-78．0 kN,72．0 kN,1599．5 V,393．5 A,1606．2 V,1406493．0 kWh,887856．0 kWh,25．0 km/h,160．0 mm,189．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
15,22:22:35,2320,28．0 km/h,시청(122),49．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,203．1 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,56．0 %,-78．0 kN,72．0 kN,1598．0 V,428．0 A,1607．0 V,1406493．0 kWh,887856．0 kWh,27．0 km/h,160．0 mm,193．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
16,22:22:36,2320,32．0 km/h,시청(122),60．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,63．0 %,-78．0 kN,72．0 kN,1593．0 V,473．0 A,1605．5 V,1406493．0 kWh,887856．0 kWh,31．0 km/h,160．0 mm,198．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
17,22:22:37,2320,36．0 km/h,시청(122),74．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．1 kWh,0．0 kWh,71．0 %,-78．0 kN,72．0 kN,1585．7 V,529．2 A,1596．5 V,1406493．0 kWh,887856．0 kWh,35．0 km/h,160．0 mm,204．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
18,22:22:38,2320,39．0 km/h,시청(122),84．0 m,91．0 %,89．8 %,70．0 kN,0．0 kPa,47．0 %,203．1 A,210．9 A,91．0 %,9．0 %,0．1 kWh,0．0 kWh,77．0 %,-78．0 kN,70．0 kN,1607．5 V,561．0 A,1610．5 V,1406493．0 kWh,887856．0 kWh,38．0 km/h,160．0 mm,208．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
19,22:22:39,2320,42．0 km/h,시청(122),98．0 m,91．0 %,89．8 %,68．0 kN,0．0 kPa,47．0 %,210．9 A,218．8 A,91．0 %,9．0 %,0．1 kWh,0．0 kWh,85．0 %,-78．0 kN,68．0 kN,1578．2 V,608．2 A,1605．5 V,1406494．0 kWh,887856．0 kWh,41．0 km/h,160．0 mm,213．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
20,22:22:40,2320,46．0 km/h,시청(122),116．0 m,91．0 %,89．8 %,64．0 kN,0．0 kPa,47．0 %,210．9 A,210．9 A,91．0 %,9．0 %,0．2 kWh,0．0 kWh,91．0 %,-72．0 kN,64．0 kN,1631．0 V,632．7 A,1607．5 V,1406494．0 kWh,887856．0 kWh,46．0 km/h,160．0 mm,219．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
21,22:22:41,2320,49．0 km/h,시청(122),129．0 m,91．0 %,89．8 %,64．0 kN,0．0 kPa,47．0 %,187．5 A,195．3 A,91．0 %,9．0 %,0．2 kWh,0．0 kWh,91．0 %,-68．0 kN,64．0 kN,1604．0 V,642．0 A,1607．5 V,1406494．0 kWh,887856．0 kWh,48．0 km/h,160．0 mm,223．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
22,22:22:42,2320,52．0 km/h,시청(122),145．0 m,91．0 %,89．8 %,60．0 kN,0．0 kPa,47．0 %,171．9 A,179．7 A,91．0 %,9．0 %,0．2 kWh,0．0 kWh,91．0 %,-65．0 kN,60．0 kN,1631．7 V,643．5 A,1599．5 V,1406495．0 kWh,887856．0 kWh,52．0 km/h,160．0 mm,228．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
23,22:22:43,2320,55．0 km/h,시청(122),166．0 m,91．0 %,89．8 %,56．0 kN,0．0 kPa,47．0 %,179．7 A,171．9 A,91．0 %,9．0 %,0．2 kWh,0．0 kWh,95．0 %,-60．0 kN,56．0 kN,1645．0 V,643．0 A,1601．7 V,1406495．0 kWh,887856．0 kWh,55．0 km/h,160．0 mm,234．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
24,22:22:44,2320,58．0 km/h,시청(122),180．0 m,91．0 %,89．8 %,52．0 kN,0．0 kPa,47．0 %,156．3 A,164．1 A,91．0 %,9．0 %,0．3 kWh,0．0 kWh,97．0 %,-58．0 kN,52．0 kN,1623．7 V,640．0 A,1601．0 V,1406495．0 kWh,887856．0 kWh,57．0 km/h,160．0 mm,238．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
25,22:22:45,2320,60．0 km/h,시청(122),199．0 m,91．0 %,89．8 %,48．0 kN,0．0 kPa,47．0 %,156．3 A,164．1 A,91．0 %,9．0 %,0．3 kWh,0．0 kWh,100．0 %,-55．0 kN,48．0 kN,1652．2 V,647．7 A,1600．2 V,1406495．0 kWh,887856．0 kWh,60．0 km/h,160．0 mm,243．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
26,22:22:46,2320,62．0 km/h,시청(122),214．0 m,91．0 %,89．8 %,48．0 kN,0．0 kPa,47．0 %,148．4 A,148．4 A,91．0 %,9．0 %,0．3 kWh,0．0 kWh,100．0 %,-53．0 kN,48．0 kN,1635．5 V,633．2 A,1594．5 V,1406496．0 kWh,887856．0 kWh,62．0 km/h,160．0 mm,247．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
27,22:22:47,2320,65．0 km/h,시청(122),238．0 m,91．0 %,89．8 %,44．0 kN,0．0 kPa,47．0 %,140．6 A,148．4 A,91．0 %,9．0 %,0．4 kWh,0．0 kWh,100．0 %,-51．0 kN,44．0 kN,1625．2 V,632．2 A,1598．7 V,1406496．0 kWh,887856．0 kWh,65．0 km/h,160．0 mm,253．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
28,22:22:48,2320,68．0 km/h,시청(122),258．0 m,83．0 %,76．9 %,40．0 kN,0．0 kPa,47．0 %,132．8 A,132．8 A,80．0 %,9．0 %,0．4 kWh,0．0 kWh,100．0 %,-44．0 kN,40．0 kN,1619．2 V,579．5 A,1594．5 V,1406496．0 kWh,887856．0 kWh,67．0 km/h,160．0 mm,2．0,81．2 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,83．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
29,22:22:49,2320,69．0 km/h,시청(122),275．0 m,64．0 %,56．1 %,32．0 kN,0．0 kPa,47．0 %,117．2 A,117．2 A,64．0 %,9．0 %,0．4 kWh,0．0 kWh,100．0 %,-34．0 kN,32．0 kN,1600．2 V,467．7 A,1596．5 V,1406496．0 kWh,887856．0 kWh,69．0 km/h,160．0 mm,6．0,61．2 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,64．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
30,22:22:50,2320,71．0 km/h,시청(122),300．0 m,41．0 %,39．2 %,20．0 kN,0．0 kPa,47．0 %,78．1 A,85．9 A,41．0 %,9．0 %,0．4 kWh,0．0 kWh,91．0 %,-21．0 kN,20．0 kN,1601．0 V,261．0 A,1600．2 V,1406497．0 kWh,887856．0 kWh,71．0 km/h,160．0 mm,12．0,42．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
31,22:22:51,2320,72．0 km/h,시청(122),321．0 m,0．0 %,0．0 %,12．0 kN,0．0 kPa,47．0 %,54．7 A,46．9 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,81．0 %,-11．0 kN,12．0 kN,1580．5 V,137．5 A,1604．7 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,16．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
32,22:22:52,2320,72．0 km/h,시청(122),337．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1607．0 V,4．5 A,1608．2 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,21．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
33,22:22:53,2320,72．0 km/h,시청(122),362．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1593．7 V,5．0 A,1604．0 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,27．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
34,22:22:54,2320,72．0 km/h,시청(122),382．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1597．2 V,5．0 A,1607．5 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,32．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
35,22:22:55,2320,72．0 km/h,시청(122),398．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1611．2 V,5．5 A,1608．2 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,36．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
36,22:22:56,2320,72．0 km/h,시청(122),422．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1595．2 V,6．0 A,1607．5 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,42．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
37,22:22:57,2320,72．0 km/h,시청(122),442．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1604．0 V,5．0 A,1607．0 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,47．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
38,22:22:58,2320,72．0 km/h,시청(122),458．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1622．2 V,5．0 A,1610．5 V,1406497．0 kWh,887856．0 kWh,72．0 km/h,160．0 mm,51．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
39,22:22:59,2320,73．0 km/h,시청(122),483．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1599．5 V,5．5 A,1609．7 V,1406497．0 kWh,887856．0 kWh,73．0 km/h,160．0 mm,57．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
40,22:23:00,2320,73．0 km/h,시청(122),504．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1606．2 V,5．0 A,1609．0 V,1406497．0 kWh,887856．0 kWh,73．0 km/h,160．0 mm,62．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
41,22:23:01,2320,73．0 km/h,시청(122),520．0 m,0．0 %,0．0 %,0．0 kN,0．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,0．0 kN,1605．5 V,4．5 A,1609．7 V,1406497．0 kWh,887856．0 kWh,73．0 km/h,160．0 mm,66．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
42,22:23:02,2320,73．0 km/h,시청(122),545．0 m,0．0 %,10．6 %,-4．0 kN,15．0 kPa,47．0 %,0．0 A,0．0 A,16．0 %,9．0 %,0．4 kWh,0．0 kWh,0．0 %,0．0 kN,-4．0 kN,1603．2 V,4．5 A,1609．0 V,1406497．0 kWh,887856．0 kWh,73．0 km/h,160．0 mm,71．0,16．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,75．0 kPa,36．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,105．0 kPa,15．0 kPa
43,22:23:03,2320,74．0 km/h,시청(122),566．0 m,-16．0 %,12．2 %,-4．0 kN,45．0 kPa,47．0 %,0．0 A,0．0 A,14．0 %,10．0 %,0．4 kWh,0．0 kWh,72．0 %,1．0 kN,-4．0 kN,1607．0 V,8．5 A,1608．2 V,1406497．0 kWh,887856．0 kWh,74．0 km/h,160．0 mm,77．0,16．8 %,284．0 kPa,47．2 %,10．8 %,10．0 %,10．0 %,63．0 kPa,33．0 kPa,17．2 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,81．0 kPa,45．0 kPa
44,22:23:04,2320,74．0 km/h,시청(122),583．0 m,-52．0 %,50．6 %,-4．0 kN,42．0 kPa,47．0 %,15．6 A,15．6 A,52．0 %,36．0 %,0．4 kWh,0．0 kWh,68．0 %,5．0 kN,-4．0 kN,1617．2 V,52．2 A,1623．0 V,1406497．0 kWh,887856．0 kWh,74．0 km/h,160．0 mm,81．0,52．4 %,284．0 kPa,47．2 %,36．0 %,10．0 %,10．0 %,180．0 kPa,39．0 kPa,52．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,63．0 kPa,42．0 kPa
45,22:23:05,2320,73．0 km/h,시청(122),608．0 m,-85．0 %,83．5 %,-59．0 kN,132．0 kPa,47．0 %,125．0 A,140．6 A,85．0 %,59．0 %,0．4 kWh,0．0 kWh,100．0 %,57．0 kN,-59．0 kN,1624．5 V,652．0 A,1667．7 V,1406497．0 kWh,887856．0 kWh,73．0 km/h,160．0 mm,87．0,85．2 %,284．0 kPa,47．2 %,59．2 %,51．2 %,32．4 %,15．0 kPa,24．0 kPa,85．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,34．4 %,129．0 kPa,132．0 kPa
46,22:23:06,2320,70．0 km/h,시청(122),629．0 m,-91．0 %,89．8 %,-68．0 kN,87．0 kPa,47．0 %,156．3 A,148．4 A,91．0 %,62．0 %,0．4 kWh,0．0 kWh,100．0 %,67．0 kN,-68．0 kN,1626．7 V,741．5 A,1662．5 V,1406497．0 kWh,887856．0 kWh,70．0 km/h,160．0 mm,92．0,90．0 %,284．0 kPa,47．2 %,62．4 %,64．0 %,49．2 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,43．6 %,84．0 kPa,87．0 kPa
